"","x"
"643","Pik3c2b"
"644","Gm28609"
"645","Ppp1r15b"
"646","Plekha6"
"647","Gm19461"
"648","Etnk2"
"649","Sox13"
"650","Snrpe"
"651","Zc3h11a"
"652","Gm38394"
"653","Lax1"
"654","Atp2b4"
"655","Gm15851"
"656","Prelp"
"657","Btg2"
"658","Chit1"
"659","Chil1"
"660","Mybph"
"661","Adora1"
"662","Ppfia4"
"663","Tmem183a"
"664","Cyb5r1"
"665","Adipor1"
"666","Platr1"
"667","Klhl12"
"668","Rabif"
"669","Kdm5b"
"670","Syt2"
"671","Ppp1r12b"
"672","Gm28892"
"673","Ube2t"
"674","Lgr6"
"675","Gm10535"
"676","Ptpn7"
"677","Arl8a"
"678","Gm15445"
"679","Gm26642"
"680","Elf3"
"681","Rnpep"
"682","Timm17a"
"683","Lmod1"
"684","Shisa4"
"685","Ipo9"
"686","Nav1"
"687","Gm4793"
"688","Csrp1"
"689","Phlda3"
"690","Tnni1"
"691","Lad1"
"692","Tnnt2"
"693","Pkp1"
"694","Tmem9"
"695","Kif21b"
"696","Mroh3"
"697","Inava"
"698","Gm26568"
"699","Gm26781"
"700","Camsap2"
"701","9230116N13Rik"
"702","Ddx59"
"703","Kif14"
"704","Zfp281"
"705","Gm19705"
"706","Platr22"
"707","Gm4258"
"708","Gm26979"
"709","Gm26936"
"710","Gm26930"
"711","A430106G13Rik"
"712","Ptprc"
"713","Nek7"
"714","Gm28501"
"715","2310009B15Rik"
"716","Dennd1b"
"717","Zbtb41"
"718","Aspm"
"719","Cfh"
"720","Cdc73"
"721","B3galt2"
"722","Glrx2"
"723","Ro60"
"724","Uchl5"
"725","Gm29170"
"726","Rgs2"
"727","Rgs1"
"728","Brinp3"
"729","Pla2g4a"
"730","Ptgs2os"
"731","Ptgs2"
"732","Odr4"
"733","Tpr"
"734","Prg4"
"735","Hmcn1"
"736","Gm20631"
"737","Gm10138"
"738","Ivns1abp"
"739","Swt1"
"740","Trmt1l"
"741","Rnf2"
"742","Fam129a"
"743","2810414N06Rik"
"744","Edem3"
"745","1700025G04Rik"
"746","Gm28610"
"747","Tsen15"
"748","Colgalt2"
"749","Rgl1"
"750","Arpc5"
"751","Ncf2"
"752","Smg7"
"753","Gm28791"
"754","Nmnat2"
"755","Lamc2"
"756","Lamc1"
"757","E330020D12Rik"
"758","Shcbp1l"
"759","Dhx9"
"760","Npl"
"761","Rgs8"
"762","C230024C17Rik"
"763","Rgs16"
"764","Gm28513"
"765","Rnasel"
"766","Teddm2"
"767","Glul"
"768","A830008E24Rik"
"769","Cacna1e"
"770","Gm29282"
"771","Gm9530"
"772","Ier5"
"773","Mr1"
"774","Stx6"
"775","BC034090"
"776","Xpr1"
"777","Acbd6"
"778","Qsox1"
"779","Gm37571"
"780","Cep350"
"781","Tor1aip1"
"782","Tor1aip2"
"783","Axdnd1"
"784","Gm2000"
"785","Soat1"
"786","Abl2"
"787","Tor3a"
"788","Fam20b"
"789","Ralgps2"
"790","Angptl1"
"791","Gm28694"
"792","Tex35"
"793","Rasal2"
"794","Cryzl2"
"795","Sec16b"
"796","Cop1"
"797","Tnr"
"798","Gm37294"
"799","4930523C07Rik"
"800","Tnn"
"801","Mrps14"
"802","Cacybp"
"803","Rabgap1l"
"804","Gm36975"
"805","Gm37529"
"806","Rc3h1"
"807","Serpinc1"
"808","Zbtb37"
"809","Gas5"
"810","Dars2"
"811","Gm37634"
"812","Cenpl"
"813","Klhl20"
"814","Prdx6"
"815","Tnfsf4"
"816","Tnfsf18"
"817","Fasl"
"818","Suco"
"819","4930558K02Rik"
"820","Pigc"
"821","Gm38304"
"822","Dnm3"
"823","2810442N19Rik"
"824","Dnm3os"
"825","Eef1aknmt"
"826","Vamp4"
"827","Prrc2c"
"828","Fmo2"
"829","Prrx1"
"830","Gorab"
"831","Kifap3"
"832","Scyl3"
"833","BC055324"
"834","Mettl18"
"835","Sell"
"836","F5"
"837","Slc19a2"
"838","Ccdc181"
"839","Blzf1"
"840","Nme7"
"841","Atp1b1"
"842","Gm32391"
"843","Gm37853"
"844","Gm37184"
"845","Dpt"
"846","Gm32569"
"847","Gm20743"
"848","Xcl1"
"849","Sft2d2"
"850","Tiprl"
"851","Gm38190"
"852","Gpr161"
"853","Dcaf6"
"854","Gm37864"
"855","Mpc2"
"856","Adcy10"
"857","Mpzl1"
"858","Rcsd1"
"859","Creg1"
"860","Cd247"
"861","Pou2f1"
"862","Gpa33"
"863","Gm15853"
"864","Tada1"
"865","Pogk"
"866","Fam78b"
"867","Uck2"
"868","Gm37982"
"869","Tmco1"
"870","Aldh9a1"
"871","Mgst3"
"872","Lmx1a"
"873","Pbx1"
"874","Nuf2"
"875","Hsd17b7"
"876","3110045C21Rik"
"877","Ddr2"
"878","Uap1"
"879","Uhmk1"
"880","4930500M09Rik"
"881","Sh2d1b2"
"882","Sh2d1b1"
"883","Gm7694"
"884","Nos1ap"
"885","Spata46"
"886","Olfml2b"
"887","Atf6"
"888","Gm9929"
"889","Dusp12"
"890","Gm26620"
"891","Fcrla"
"892","Fcgr2b"
"893","Fcgr4"
"894","Fcgr3"
"895","Cfap126"
"896","Sdhc"
"897","Mpz"
"898","Nr1i3"
"899","Tomm40l"
"900","Fcer1g"
"901","Ndufs2"
"902","Adamts4"
"903","B4galt3"
"904","Ppox"
"905","Usp21"
"906","Ufc1"
"907","Gm20045"
"908","Dedd"
"909","Nit1"
"910","Pfdn2"
"911","Klhdc9"
"912","Nectin4"
"913","Arhgap30"
"914","Usf1"
"915","Tstd1"
"916","F11r"
"917","B930036N10Rik"
"918","Alyref2"
"919","Cd244a"
"920","Ly9"
"921","Slamf7"
"922","Cd48"
"923","Slamf1"
"924","Cd84"
"925","Slamf6"
"926","Vangl2"
"927","Ncstn"
"928","Copa"
"929","Gm37756"
"930","Pex19"
"931","Dcaf8"
"932","Pea15a"
"933","Casq1"
"934","Igsf8"
"935","Atp1a2"
"936","Pigm"
"937","Slamf9"
"938","Igsf9"
"939","Tagln2"
"940","Cfap45"
"941","4933439K11Rik"
"942","Vsig8"
"943","Fcrl6"
"944","Dusp23"
"945","Aim2"
"946","Ifi206"
"947","Ifi214"
"948","Ifi213"
"949","Ifi209"
"950","Ifi208"
"951","Ifi207"
"952","Ifi204"
"953","Mndal"
"954","Ifi211"
"955","Ifi203"
"956","Ifi202b"
"957","Ifi205"
"958","Fmn2"
"959","Rgs7"
"960","Fh1"
"961","Kmo"
"962","Opn3"
"963","Chml"
"964","Exo1"
"965","Cep170"
"966","Sdccag8"
"967","Akt3"
"968","Gm26801"
"969","Zbtb18"
"970","1700016C15Rik"
"971","Adss"
"972","Catspere1"
"973","Catspere2"
"974","Desi2"
"975","B230369F24Rik"
"976","Cox20"
"977","Hnrnpu"
"978","Efcab2"
"979","Kif26b"
"980","Smyd3"
"981","Tfb2m"
"982","Cnst"
"983","Sccpdh"
"984","Kif28"
"985","Ahctf1"
"986","Cdc42bpa"
"987","Coq8a"
"988","Psen2"
"989","Gm31728"
"990","Itpkb"
"991","Parp1"
"992","Lin9"
"993","Acbd3"
"994","Gm37768"
"995","Gm38293"
"996","H3f3a"
"997","H3f3aos"
"998","Sde2"
"999","Pycr2"
"1000","Lefty1"
"1001","Tmem63a"
"1002","2210411M09Rik"
"1003","Ephx1"
"1004","Nvl"
"1005","Cnih4"
"1006","Wdr26"
"1007","A430110L20Rik"
"1008","Cnih3"
"1009","Dnah14"
"1010","Lbr"
"1011","Enah"
"1012","Srp9"
"1013","Degs1"
"1014","1700047M11Rik"
"1015","Fbxo28"
"1016","Trp53bp2"
"1017","Capn2"
"1018","Gm37885"
"1019","Capn8"
"1020","Susd4"
"1021","Tlr5"
"1022","Gm38079"
"1023","Disp1"
"1024","Brox"
"1025","Aida"
"1026","Mia3"
"1027","Taf1a"
"1028","Gm37986"
"1029","Hhipl2"
"1030","Gm37214"
"1031","Dusp10"
"1032","1700056E22Rik"
"1033","Hlx"
"1034","Marc1"
"1035","Marc2"
"1036","C130074G19Rik"
"1037","Mark1"
"1038","Gm38251"
"1039","Rab3gap2"
"1040","Gm34882"
"1041","Iars2"
"1042","Bpnt1"
"1043","4930532G15Rik"
"1044","Eprs"
"1045","Lyplal1"
"1046","Tgfb2"
"1047","Gm29491"
"1048","Rrp15"
"1049","A430105J06Rik"
"1050","Spata17"
"1051","Gpatch2"
"1052","Gm38155"
"1053","Esrrg"
"1054","Gm36388"
"1055","Ush2a"
"1056","Kctd3"
"1057","Kcnk2"
"1058","Cenpf"
"1059","Ptpn14"
"1060","Gm26574"
"1061","Gm37422"
"1062","Smyd2"
"1063","Prox1"
"1064","Angel2"
"1065","Vash2"
"1066","Flvcr1"
"1067","A230020J21Rik"
"1068","Tatdn3"
"1069","Nsl1"
"1070","Batf3"
"1071","Fam71a"
"1072","Atf3"
"1073","D730003I15Rik"
"1074","Gm37168"
"1075","Nenf"
"1076","Pacc1"
"1077","Ppp2r5a"
"1078","Dtl"
"1079","Ints7"
"1080","Lpgat1"
"1081","Gm38037"
"1082","Nek2"
"1083","1700034H15Rik"
"1084","Slc30a1"
"1085","Gm26670"
"1086","Traf5"
"1087","Gm26879"
"1088","Rcor3"
"1089","Gm10516"
"1090","Kcnh1"
"1091","Hhat"
"1092","Sertad4"
"1093","Gm15867"
"1094","Utp25"
"1095","Irf6"
"1096","A130010J15Rik"
"1097","Traf3ip3"
"1098","Gm15872"
"1099","4930570N18Rik"
"1100","Lamb3"
"1101","Hsd11b1"
"1102","G0s2"
"1103","Camk1g"
"1104","Mir205hg"
"1105","Plxna2"
"1106","Cd34"
"1107","Gm16897"
"1108","A330023F24Rik"
"1109","Gm32250"
"1110","Cd46"
"1111","Cr1l"
"1112","Fam171a1"
"1113","Nmt2"
"1114","Rpp38"
"1115","Acbd7"
"1116","Olah"
"1117","Gm37525"
"1118","Meig1"
"1119","Dclre1c"
"1120","Suv39h2"
"1121","Gm13184"
"1122","Hspa14"
"1123","Gm45902"
"1124","Cdnf"
"1125","Fam107b"
"1126","Frmd4a"
"1127","Gm36988"
"1128","Gm13175"
"1129","Prpf18"
"1130","Bend7"
"1131","Sephs1"
"1132","Phyh"
"1133","Mcm10"
"1134","Optn"
"1135","Camk1d"
"1136","Cdc123"
"1137","Nudt5"
"1138","Gm13199"
"1139","Sec61a2"
"1140","Dhtkd1"
"1141","Upf2"
"1142","Proser2"
"1143","Echdc3"
"1144","A230108P19Rik"
"1145","Gm13383"
"1146","AL845275.1"
"1147","Usp6nl"
"1148","Gm13388"
"1149","Gm13391"
"1150","Celf2"
"1151","Gm10855"
"1152","Gm10115"
"1153","Gm13219"
"1154","Gm13218"
"1155","Gata3"
"1156","Gm13256"
"1157","4930412O13Rik"
"1158","9230102O04Rik"
"1159","Taf3"
"1160","Atp5c1"
"1161","Kin"
"1162","Itih2"
"1163","Itih5"
"1164","Gm13261"
"1165","Sfmbt2"
"1166","Prkcq"
"1167","8030442B05Rik"
"1168","Pfkfb3"
"1169","Rbm17"
"1170","Il2ra"
"1171","Il15ra"
"1172","Fbh1"
"1173","Ankrd16"
"1174","Itga8"
"1175","E030013I19Rik"
"1176","Mindy3"
"1177","Pter"
"1178","Rsu1"
"1179","Gm13270"
"1180","Cubn"
"1181","Trdmt1"
"1182","Vim"
"1183","St8sia6"
"1184","Hacd1"
"1185","Stamos"
"1186","Stam"
"1187","Tmem236"
"1188","Mrc1"
"1189","Cacnb2"
"1190","Nsun6"
"1191","Arl5b"
"1192","Malrd1"
"1193","Plxdc2"
"1194","Nebl"
"1195","A930004D18Rik"
"1196","Skida1"
"1197","1810059C17Rik"
"1198","Mllt10"
"1199","Dnajc1"
"1200","Commd3"
"1201","Bmi1"
"1202","Spag6"
"1203","Gm20539"
"1204","Pip4k2a"
"1205","Armc3"
"1206","Msrb2"
"1207","Otud1"
"1208","Etl4"
"1209","Gm13362"
"1210","Arhgap21"
"1211","Gm13380"
"1212","Gm13375"
"1213","Enkur"
"1214","Thnsl1"
"1215","Gpr158"
"1216","Myo3a"
"1217","Apbb1ip"
"1218","Pdss1"
"1219","Abi1"
"1220","Acbd5"
"1221","Mastl"
"1222","Yme1l1"
"1223","4931423N10Rik"
"1224","Spopl"
"1225","Hnmt"
"1226","Il1rn"
"1227","Psd4"
"1228","Ehmt1"
"1229","Arrdc1"
"1230","Zmynd19"
"1231","Dph7"
"1232","Mrpl41"
"1233","Pnpla7"
"1234","Nsmf"
"1235","Gm13387"
"1236","Nrarp"
"1237","Gm38287"
"1238","Tor4a"
"1239","Nelfb"
"1240","Fam166a"
"1241","Tubb4b"
"1242","Cysrt1"
"1243","Rnf208"
"1244","Ndor1"
"1245","Tmem203"
"1246","Tprn"
"1247","Ssna1"
"1248","Anapc2"
"1249","Tmem210"
"1250","Lrrc26"
"1251","Grin1"
"1252","Grin1os"
"1253","Man1b1"
"1254","Dpp7"
"1255","Uap1l1"
"1256","Sapcd2"
"1257","Entpd2"
"1258","Npdc1"
"1259","Abca2"
"1260","Paxx"
"1261","Clic3"
"1262","C8g"
"1263","Fbxw5"
"1264","Traf2"
"1265","Edf1"
"1266","Mamdc4"
"1267","Phpt1"
"1268","Ajm1"
"1269","Rabl6"
"1270","Fcnaos"
"1271","Tmem141"
"1272","Bmyc"
"1273","Camsap1"
"1274","Ubac1"
"1275","Nacc2"
"1276","Gm13554"
"1277","Tmem250-ps"
"1278","Qsox2"
"1279","Ccdc187"
"1280","Gpsm1"
"1281","Dnlz"
"1282","Card9"
"1283","Gm13562"
"1284","Snapc4"
"1285","Gm13563"
"1286","Entr1"
"1287","Pmpca"
"1288","Inpp5e"
"1289","Sec16a"
"1290","0610009E02Rik"
"1291","Notch1"
"1292","Egfl7"
"1293","Agpat2"
"1294","Dipk1b"
"1295","Snhg7os"
"1296","Surf6"
"1297","Med22"
"1298","Surf1"
"1299","Surf2"
"1300","Surf4"
"1301","Stkld1"
"1302","Rexo4"
"1303","Adamts13"
"1304","Cacfd1"
"1305","Slc2a6"
"1306","Gm13398"
"1307","Adamtsl2"
"1308","Sardh"
"1309","Sardhos"
"1310","Vav2"
"1311","AA645442"
"1312","Brd3os"
"1313","Brd3"
"1314","Wdr5"
"1315","Gm13421"
"1316","Rxra"
"1317","Col5a1"
"1318","Olfm1"
"1319","Ppp1r26"
"1320","1700007K13Rik"
"1321","Mrps2"
"1322","Gbgt1"
"1323","Gm10134"
"1324","Ralgds"
"1325","Cel"
"1326","Gm13381"
"1327","Gtf3c5"
"1328","Gfi1b"
"1329","Tsc1"
"1330","Spaca9"
"1331","Ak8"
"1332","Gtf3c4"
"1333","Ddx31"
"1334","Cfap77"
"1335","Ttf1"
"1336","Setx"
"1337","Ntng2"
