"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ly6a",4.75878058751761e-09,-0.744779645546197,0.098,0.158,7.95192236174193e-05
"Trpv2",4.88554550490816e-09,-0.354815650445379,0.183,0.32,8.16374653870153e-05
"Tnfrsf1a",5.55519676580001e-09,0.257800918008349,0.49,0.304,9.28273379565182e-05
"Kcnn4",6.075896664228e-09,-0.344242898474365,0.108,0.247,0.00010152823325925
"Ctsc",6.11171080031244e-09,0.275656180745502,0.932,0.812,0.000102126687473221
"Hif1a",7.15933092989946e-09,-0.381768697355162,0.516,0.558,0.00011963241983862
"Zfp36l2",8.33659764725868e-09,-0.259675109617382,0.964,0.923,0.000139304546685693
"Cytip",1.08109313556948e-08,0.253249553826127,0.918,0.797,0.00018065066295366
"Piezo1",1.15142766038666e-08,-0.250564978438389,0.036,0.131,0.000192403562050611
"Cd4",1.27292779938224e-08,0.449332118305111,0.363,0.197,0.000212706235276772
"Zc3h12d",1.35805250778194e-08,-0.267418313329876,0.08,0.18,0.000226930574050362
"Ddit4",1.49193218591074e-08,-0.319441044794824,0.538,0.527,0.000249301868265684
"Fam162a",1.49625023303282e-08,-0.269984719525539,0.488,0.506,0.000250023413939784
"Tox",1.5595576189525e-08,-0.316050557525477,0.962,0.904,0.000260602078126963
"Rgs16",2.11975185785719e-08,-0.497723561631338,0.175,0.289,0.000354210535447936
"Coq10b",2.18082810067515e-08,-0.258027434740492,0.321,0.348,0.000364416375622817
"B3gnt2",2.2956869013509e-08,-0.288703326424491,0.424,0.475,0.000383609281215736
"Klhl6",2.34674006645367e-08,-0.278497326976366,0.402,0.411,0.000392140265104409
"Socs1",2.39152259902155e-08,-0.33267096772235,0.829,0.818,0.000399623426296501
"S100a4",2.52747656487018e-08,-0.509896165309046,0.094,0.203,0.000422341333989807
"Tec",2.63674193623876e-08,0.275916084833601,0.466,0.291,0.000440599577545497
"Zc3h7a",2.7749327806743e-08,-0.308126338419744,0.94,0.856,0.000463691267650675
"Sh3rf1",3.81227227695092e-08,0.289480791029493,0.402,0.234,0.000637030697478498
"Gm19585",3.8230550837488e-08,0.256557719238711,0.653,0.473,0.000638832504494425
"Myc",5.00101823839359e-08,-0.277619010182205,0.281,0.291,0.000835670147635568
"Gpr183",5.01175407629749e-08,-0.489009916462039,0.191,0.315,0.00083746410614931
"H2-Aa",5.0663714700662e-08,-0.641727074329641,0.096,0.142,0.000846590672648063
"Ywhab",6.60108490645546e-08,-0.302265636700874,0.52,0.562,0.00110304128786871
"Plp2",6.89676033232126e-08,-0.274422707283904,0.333,0.405,0.00115244865153088
"Il16",9.35704802735836e-08,-0.253978514257639,0.476,0.492,0.00156356272537158
"Fchsd2",1.09651542755129e-07,-0.251010363367288,0.333,0.346,0.0018322772794382
"Hnrnpll",1.26995973765508e-07,-0.261673220381129,0.131,0.243,0.00212210272162165
"Trav13n-4",1.50364896987077e-07,0.62076224496533,0.261,0.125,0.00251259742865406
"Nt5e",1.63262426550672e-07,-0.331016490148191,0.552,0.54,0.00272811514766172
"Birc2",1.73423676091988e-07,0.281719195858506,0.637,0.466,0.00289790962749711
"Fry",1.95274693186443e-07,-0.30778045715164,0.09,0.201,0.00326304012314546
"Cd82",1.98558268740882e-07,-0.293879591837471,0.723,0.724,0.00331790867066014
"Dse",2.10744700987702e-07,-0.270825309472561,0.084,0.192,0.0035215439535045
"Samhd1",2.17135027089088e-07,-0.266094530114997,0.412,0.414,0.00362832630265867
"Ahr",2.62236178489112e-07,-0.314273844471099,0.576,0.575,0.00438196654255307
"4930523C07Rik",2.74004885003939e-07,-0.290905430603207,0.46,0.512,0.00457862162841582
"Jarid2",2.80883744413758e-07,-0.304181429524087,0.699,0.606,0.0046935673691539
"Pim1",3.52656064243891e-07,0.264082618994066,0.675,0.51,0.00589288283351542
"Sh3bp5",3.64928535506781e-07,-0.305071967369448,0.086,0.179,0.00609795582831832
"Dnaja1",3.65839123975222e-07,-0.253368592988534,0.89,0.831,0.00611317176162595
"Dusp2",3.98143358803878e-07,-0.479174758233001,0.809,0.831,0.00665297552561281
"Filip1l",5.89781352179693e-07,-0.38873553666809,0.757,0.716,0.00985524639492267
"Ccl4",6.38916448457881e-07,0.600244624809964,0.359,0.214,0.0106762938537312
"Pacsin1",7.28797366044601e-07,-0.41843265735904,0.281,0.411,0.0121782039866053
"Tcrg-V7",7.32161215125664e-07,0.312348445502104,0.305,0.179,0.0122344139047498
"Il10ra",7.70632391942145e-07,-0.303444475183665,0.376,0.4,0.0128772672693532
"Zdhhc2",8.15026558930786e-07,-0.264981011751564,0.124,0.208,0.0136190937997334
"Tpt1",9.2113840546969e-07,-0.280420509300149,0.996,0.989,0.0153922227553985
"Phlpp1",1.00973599446248e-06,-0.294905123944472,0.426,0.401,0.016872688467468
"Mcm6",1.02342729179573e-06,-0.257372351272425,0.257,0.302,0.0171014700459066
"Pdia6",1.10617476323715e-06,0.260624797990856,0.759,0.611,0.0184841802936928
"Hsp90ab1",1.11640741778864e-06,-0.250418880840011,0.996,0.987,0.0186551679512482
"Mrc2",1.17043825102145e-06,-0.264105867719008,0.07,0.166,0.0195580231745684
"Ece1",1.18593865752052e-06,0.311174510577382,0.412,0.262,0.0198170349671679
"Tsc22d3",1.76353339105448e-06,-0.345007730204527,0.462,0.505,0.0294686429645204
"Kat2b",1.76383812069639e-06,-0.271739339014161,0.365,0.407,0.0294737349968367
"Prkcb",1.8398110435852e-06,-0.315941010349914,0.331,0.4,0.0307432425383087
"Gbp6",1.89658052228123e-06,-0.307575817012474,0.179,0.262,0.0316918605273194
"Irf1",1.97434369284528e-06,-0.27016664469521,0.554,0.534,0.0329912831074446
"Gm156",1.9945560405484e-06,0.423329130809628,0.614,0.532,0.0333290314375638
