"__mclCluster","EnrichmentMap::Colouring (Data Set 1)","EnrichmentMap::ES (Data Set 1)","EnrichmentMap::fdr_qvalue (Data Set 1)","EnrichmentMap::fwer_qvalue (Data Set 1)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (Data Set 1)","EnrichmentMap::pvalue (Data Set 1)","name","selected","shared name"
"1","0.9999999999999585",,"1.30684167821543E-11",,"NCKAP1L|IL6|BLK|DNAJB9|SLAMF6|CFH|CRHR1|LBP|H2-M3|HPX|ABR|ANXA1|IRF1|ENPP3|VSIR|LTA|XCL1|GIMAP3|RARA|TRAF2|RC3H1|CUEDC2|FOXF1|RBP4|RASGRP1|SPON2|MAVS|CD86|FBXO38|DDX58|PTPN22|MZB1|TRIL|B2M|LACC1|MS4A2|LGALS9|STXBP2|MAP3K7|RABGEF1|IL23A|LAPTM5|6030468B19RIK|IL17A|EPHB2|HSPD1|IL18|FFAR2|ADORA2B|TGFB2|CD55|PRKCZ|TRIM6|MR1|RC3H2|P2RX7|DENND1B|IL21|NPPC|TGFB1|BST2|PCK1|SNX4|TNFRSF1B|FER|CD27|GPI1|CXCL5|LAG3|KLRC1|STAT5A|CYRIB|STXBP1|D6WSU163E|SIGLECG|PKN1|PHB2|PTPN6|DDX1|STX4A|SPI1|ZP3|SASH3|CD36|CD40LG|FGR|IL13RA2|CD37|AP1G1|PGLYRP1|NPPA|PGLYRP3|KIT|PGLYRP4|SPN|PGLYRP2|ATG5|IL1B|MALT1|NLRP3|PRAM1|KLRC3|CD226|VAV1|MIF|NFKBIZ|IL5|H2-EA|HFE|DHX36|MIR301|MASP1|NFKBID|SERPING1|SOCS5|PLCG2|H2-DMB2|CD300A|CD84|CLNK|HLX|FGL2|FFAR3|SHB|HMGB1|TNFRSF14|FZD5|VSIG4|IL20RB|IL27|TLR9|LYPD10|APOA1|XBP1|CD81|TICAM1|PPP3CB|GFER|DUSP22|CCR7|IFNB1|ZFP683|KLRE1|SEMA7A|VAMP8|CD177|GATA2|KLRC2|HK1|RAC2|TLR4|DUSP10|RAPGEF1|GATA3|CD47|HSPA8|CR1L|FCER1G|CD46|LYPD11|IL10|RIPK2|PLA2G5|ZPBP2|INAVA|IGF2|TMBIM6|LYN|MIR326|TNFSF18|ZC3H12A|CD59B|C1QBP|TNF|FCER2A|SH2D1A|SH2D1B2|DDX60|IL4I1|CLEC4G|CD5L|STX7|IL33|PIK3R6|SERPINB9B|SERPINB9C|PGC|CD24A|TAP2|KLK7|KLK5|ARG1|CXCL1|A2M|CLEC2D|CLEC12B|CCR2|SIRT1|KLRD1|TAP1|SERPINB9F|PVR|SERPINB9|SMAD7|RAET1E|SERPINB9D|SERPINB9G|H2-K1|APLF|ULBP1|SERPINB9E|H2-T23|HAVCR2|IL4|TBX21|SERPINB9H|SUPT6|H2-D1|STAT6|PAXIP1|SLC22A13|IL27RA|TRAF6|NOD2|DNASE1|ATAD5|SCIMP|CD40|TNFSFM13|GATA1|KLRB1B|TFRC|DNASE1L3|PARP3|THOC1|NDFIP1|LAMP1|CD28|PTPRC|TNFSF4|IL2|EXOSC3|ZBTB7B|MAD2L2|SLC15A4|GM49339|HMCES|HMOX1|PTAFR|PAGR1A|STAT5B|NR4A3|TLR3|TYROBP|WAS|IL4RA|CGAS|SPHK2|CRK|RAP1A|TGFB3|RIF1|PLD2|TREX1|CCL19|FOXP3|RIPK3|CLCF1|SHLD2|LEP|ITGB2L|CEACAM1|TRP53BP1|SHLD1|KMT5B|FCER1A|IL18RAP|IL12B|TEK|FOXP1|CADM1|TNFAIP3|FES|IFNG|CLEC7A|NSD2|ARRB2|IL17F|BTK|KMT5C|MIR181B-1|MIR181B-2|TNFSF13|GM42742|EXOSC6|LILR4B|UNC13D|LILRB4A|SHLD3|SLAMF1|AGER|NCF1|IL7R|C6|MLH1|FADD|NECTIN2|WNT5A|PDPK1|IRAK3|ANGPT1|ZFP35|IL12A|MYB|ZBTB1|APPL2|IL1R1|RPS19|FOXJ1|C4BP|IL13|BCL6|SYK|FCGR1|IL18R1|SUSD4|F2RL1|CD59A|PRKDC|PLA2G3|CRTAM|RSAD2|APOA2|GPRC5B|GRN|RTN4|CD244A|DHX58|KLRK1|CD160|DDX21|POMC|GIMAP5|ARID5A|STAP1|CCL2|VPREB3|TREM2|CFHR2|SPINK5|MYO18A|CD96|LOXL3|CFHR4|APPL1|NEPN|FUT7|CD74|TRPM4|DPP4|PHB|CX3CR1|MSH2|C3|BCR|ANKRD17","regulation of immune effector process","366","ENR","GO:0002697","1.0","4.15456258477517E-14","GO:0002697","false","GO:0002697"
"3","0.9999999964404505",,"3.24823979697117E-7",,"CD40|BATF2|IL6|GBP7|BCL3|IIGP1|TLR12|IRGM2|GM43302|GBP11|GBP6|GBP10|IRF8|ARG1|IL4RA|IL12A|IL10|CCDC88B|PF4|IL4|TSPAN32|IRF4|IL12B|GBP3|SLC11A1|GBP2|GBP9|IFNG|GBP4|CD37|BATF|HRAS|GBP8","defense response to protozoan","33","ENR","GO:0042832","1.0","3.55954955463037E-9","GO:0042832","false","GO:0042832"
"4","0.9999958431903087",,"1.65779728728973E-4",,"OASL2|OAS1C|OAS1H|OAS1A|OAS1F|OASL1|NPM1|TMBIM6|OAS3|ABCE1|OAS2|OAS1D|OAS1G|OAS1E","regulation of ribonuclease activity","14","ENR","GO:0060700","1.0","4.15680969138398E-6","GO:0060700","false","GO:0060700"
"6","0.9999999989605376",,"1.06821132646668E-7",,"CCR1|CACTIN|MMP12|DRD2|SH2D1B2|PTPN2|SERPINB9B|SERPINB9C|USP18|NLRX1|FAM3A|OAS3|PARP14|DCST1|TAP2|OTOP1|OAS1D|NLRC5|ARG1|A2M|CLEC2D|CLEC12B|KLRD1|SERPING1|SAMHD1|TAP1|SERPINB9F|IRAK3|MUL1|SERPINB9|SERPINB9D|SERPINB9G|SERPINB9E|LGALS9|RPS19|HAVCR2|SERPINB9H|VSIG4|LYAR|CNOT7|SUSD4|OAS1C|KLRB1B|OAS1H|OAS1A|GFER|OAS1F|METTL3|TRAFD1|NLRC3|KLRE1|GRN|TTLL12|DHX58|YTHDF2|DUSP10|YTHDF3|OAS1G|OAS1E|CRK|ADAR|NMI|IFI204|IFI206|IFI207|CD96|TREX1|ISG15|IGF2|CEACAM1|USP15|IFI202B|STAT2|TRIM21|DNAJA3|TNFAIP3|ARRB2|TYRO3|SMPDL3B","negative regulation of innate immune response","79","ENR","GO:0045824","1.0","1.03946236325867E-9","GO:0045824","false","GO:0045824"
"1","0.9999999999979533",,"4.79108880209068E-10",,"BACH2|SLAMF6|ICAM1|H2-M3|HPX|CD274|IRF1|CD70|VSIR|IL9R|GIMAP3|RC3H1|FBXO38|IL9|B2M|ENTPD7|NFKB2|IL23A|6030468B19RIK|HSPD1|IL18|IL1RL1|TCIRG1|INPP5D|CD55|MR1|RC3H2|EXO1|TGFB1|BCL10|TNFRSF1B|ERCC1|UNG|STAT3|PTPN6|CD19|CCR6|SWAP70|ZP3|SASH3|CD40LG|OTUD5|IL13RA2|MSH6|IRF4|TNFSF13B|BATF|RAB27A|SPN|BCL3|MALT1|NLRP3|CD226|NFKBIZ|TMEM98|H2-EA|HFE|MIR301|NFKBID|SOCS5|HLX|HMGB1|FZD5|IL20RB|IL27|DUSP22|IFNB1|CD8A|GATA3|HSPA8|CR1L|FCER1G|CD46|ADA|MIR326|TNFSF18|TNFRSF13C|H2-AB1|IL4I1|CLEC4G|IGLL1|TRBC1|TREML4|TRBC2|IGHG2C|IGHG3|IGHV5-2|IGHV2-6-8|IGHV7-3|IGHV7-2|IGHV4-1|IGHV16-1|IGHV7-1|ARG1|IGHV14-4|IGHV7-4|IGHV13-2|IGHV3-6|IGHV3-8|IGHV12-3|IGHV6-3|IGHV6-6|IGHV15-2|IGHV1-18|IGHV1-47|IGHV1-49|IGHV8-12|IGHV8-13|TRDV4|IGLC2|IGHV6-7|HAVCR2|IGHV3-1|IGHV1-53|IGHV1-76|IGHV1-34|IGHV3-3|IGHV1-36|IGHV1-80|IGHV1-61|IGHV1-64|IGHV9-2|IGHV1-74|IGHV5-15|IGHV2-3|IGHV6-4|C2|IGHV5-16|IGHV1-50|IGHV1-24|IGHV9-4|IGHV1-69|IGHV8-6|IGHV14-1|IGHV11-1|IGHV1-26|IGHV1-22|IGHV1-42|IGHV1-81|PLA2G4A|IGHV1-9|IGHV1-54|IGHV1-56|IGHV5-6|IGHA|IGHV8-9|IGHV1-82|IGHV1-39|IL4RA|IGHV8-11|IGHV1-59|IGHV1-7|IGHV1-52|IGHV5-9-1|IGHV5-9|IGHV1-12|IGHV5-12|IGHV1-4|IGHV1-66|IGHV1-16|IGHV2-9-1|TREX1|IGHV5-17|IGHV14-2|IGHV1-55|IGHV5-4|IGHV14-3|IGHV10-3|IGHV1-20|IGHV1-43|IGHV1-67|IGHV1-58|IGHV1-37|FCER1A|IGHV10-1|IGHV1-75|IGHV1-72|TNFAIP3|IGHV1-62-2|IGHV11-2|IGHV1-85|IGHV1-78|IGHV8-4|IGHV6-5|IGHV1-19|IGHV1-77|IGHV9-3|IGHV2-2|IGHV2-5|IGHV1-5|IGHV1-71|SLAMF1|AGER|IGHV2-9|IGHV1-31|IL7R|IGHV2-6|IGHV1-63|IGHV1-62-3|IGHV9-1|IGHV2-7|FADD|NECTIN2|ADAM17|IGHV8-2|IGHV8-5|IGHV1-11|IGHV5-12-4|IGHV1-15|IGHV1-23|IGHV3-4|IGHD|IGHV8-8|TRDC|IGLC1|IGLC4|C8G|MYO1G|C4BP|APCS|EMP2|C8B|BCL6|C8A|AI182371|C1QC|C1QB|C1S1|FCGR1|C1RL|IL18R1|SUSD4|KLHL6|PRKCD|C1RA|KDM5D|CFI|RSAD2|IL18BP|C4B|C7|MPTX2|C1S2|NTN1|C1RB|GIMAP5|CD4|JAG1|TREM2|CLEC4N|VEGFA|IRF7|CD74|TRPM4|DPP4|FAS|MSH2|C3|HRAS|NCKAP1L|IL6|ANXA1|LTA|XCL1|PRKCQ|CARD9|TRAF2|CRP|IL6RA|MAP3K7|IL23R|HPRT|NLRP10|EPHB2|PRKCZ|GFUS|P2RX7|DENND1B|RNF8|SEMA4A|CYRIB|PKN1|NOTCH1|AICDA|MEF2C|IL1B|CTSH|MYD88|EPHB6|SERPING1|MBL2|MASP2|MBL1|LEF1|NBN|CD81|PPP3CB|CCR7|MTOR|RIPK2|ZC3H12A|TNF|FCER2A|GZMB|STX7|IL33|SERPINB9B|C9|CD24A|TAP2|CCR2|KLRD1|PVR|SERPINB9|SMAD7|RAET1E|GZMM|H2-K1|APLF|LIG4|H2-T23|IL4|TBX21|SUPT6|H2-D1|STAT6|PAXIP1|SLC22A13|IL27RA|TRAF6|NOD2|ATAD5|CD40|TNFSFM13|TFRC|PARP3|THOC1|NDFIP1|CD28|PTPRC|TNFSF4|IL2|CRACR2A|EXOSC3|ZBTB7B|MAD2L2|SLC15A4|RORC|GM49339|HMCES|PAGR1A|WAS|RIF1|CCL19|FOXP3|RIPK3|CLCF1|SHLD2|CEACAM1|TRP53BP1|SHLD1|KMT5B|IL12B|IFNG|CLEC7A|NSD2|BTK|KMT5C|MIR181B-1|MIR181B-2|TNFSF13|GM42742|EXOSC6|LILR4B|UNC13D|LILRB4A|SHLD3|C6|MLH1|HC|IL12A|ZBTB1|IL1R1|RNF168|FOXJ1|TRAF3IP2|RORA|RFTN1|PRF1|RELB|PIRB|ARID5A|CTSC|C3AR1|C1QA|LOXL3|AIRE|ICOSL|IL12RB1|IL17RA|FUT7|PHB|LY9|SLC11A1","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","404","ENR","GO:0002460","1.0","2.04671326983814E-12","GO:0002460","false","GO:0002460"
"9","0.9999999998822277",,"1.81167484587566E-8",,"CALCRL|IFI35|MCPH1|TNFAIP8L2|RNF125|CACTIN|SLAMF6|LBP|H2-M3|HPX|ELMOD2|ABR|IRF1|ZBP1|USP18|ENPP3|IKBKE|TBK1|DCST1|OTOP1|GIMAP3|ISL1|NLRC5|PPARG|DROSHA|FOXF1|TRIM62|MUL1|AREL1|HAMP|SERPINF1|RNF216|ZFP36|BAP1|UCN|RNF31|TSLP|WFDC1|DTX3L|LGALS9|RNF26|RABGEF1|IL23A|HSPD1|NR1H4|TRIM38|IL1RL1|LPCAT3|CYBA|TRIM6|IL2RA|PPARD|TOMM70A|IL21|SUCNR1|PTGER4|YTHDF2|SNX4|STING1|TNFRSF1B|GM49380|SIGLECE|CXCL5|LRSAM1|MNDAL|LAG3|SOCS1|KLRC1|UFL1|STAT5A|RBM14|SIGLECG|ZP3|GIT1|TSPAN32|IDO1|CELF1|SLC7A2|CD37|AP1G1|NPPA|SPN|ABCC1|PLSCR1|HTRA1|NLRP3|KLRC3|ABHD12|CD226|GGT1|VAV1|IRGM1|CDC37|NFKBIZ|LRFN5|OPTN|IGTP|ARG2|SOCS5|LDLR|CLNK|NPY5R|FGL2|CNR1|PLA2G2D|SETD6|HMGB1|SELENOK|VSIG4|IL20RB|LYAR|CTLA2A|IL27|TLR9|SNCA|ALDH2|NLRC3|KLRE1|NT5E|VAMP8|KLRC2|SIRT2|SPATA2|MIR7578|YTHDF3|ITGA2|TXK|GATA3|DUOXA1|CD47|DUOXA2|IFI204|IFI207|FCER1G|IL10|ACP5|PSPC1|MVK|NONO|ZNFX1|IFI203|IFI209|ADA|IFI208|IGF2|IFI214|IFI213|USP15|PTGIS|TNFSF18|CCN4|MED1|SEC14L1|DDT|NFKBIA|PIK3AP1|TASL|GBP4|HSP90AA1|CDH5|C1QBP|XRCC6|SMPDL3B|IL1RL2|MMP12|TKFC|CRH|SH2D1B2|ESR1|TREML4|TSPAN6|PGC|KLK7|KLK5|GJA1|ARG1|IGF1|GHSR|SAMHD1|EGFR|EIF2AK4|PDE2A|ULBP1|HAVCR2|BRD4|ZDHHC1|SOCS3|ZDHHC11|SLPI|TNFAIP6|DNASE1|PDE5A|DNASE1L3|HMGB2|ACE|CDK19|PLA2G4A|CASP1|CEBPB|S100A8|STAT5B|S100A9|TYROBP|PML|CCL3|SBNO2|IFNA1|CCN3|APOE|TREX1|NINJ1|OSM|LEP|CCL24|GPR31B|MIR147|FCER1A|MMP8|TNFAIP3|ARRB2|HYAL2|APOBEC3|AGER|NCF1|ADAMTS12|TAC1|FADD|NECTIN2|WNT5A|ALOX15|RB1|LSM14A|EDNRB|HEXIM1|MAPK3|IRAK3|TNIP1|PIK3CG|CCL1|GHRL|MUC19|APPL2|TRAF3|IL13|BCL6|RIPK1|SYK|FCGR1|POLR3D|SUSD4|OAS1C|F2RL1|OAS1H|IL16|ADORA2A|PRKDC|TNFSF11|PLA2G10|PBK|UFD1|IL15|GPRC5B|LPL|IL17RB|SHANK3|AHSG|DHX58|MAS1|APP|ADIPOQ|SOD1|POMC|COCH|TARBP2|ALOX5|GIMAP5|NAPEPLD|IFNLR1|TREM2|ADAR|MEFV|SPINK5|FABP4|CD96|CD200R1|TBC1D23|SETD4|HSP90AB1|CLEC4N|APPL1|RIOK3|ISG15|CD276|IRF7|CD74|DPP4|JAK2|IFI202B|IFI211|PDCD4|FCNB|RAG1|C3|FCNA|F12|ADAM8|PENK|IL6|POLR3F|ADCYAP1|CCR1|POLR3C|GPATCH3|ZC3HAV1|ANXA1|TNFRSF11A|N4BP1|NLRX1|LTA|OAS3|XCL1|MAPKBP1|TLR2|POLR3B|CARD9|GPSM3|POLR3G|STK39|RASGRP1|MAVS|AIM2|NLRC4|NPLOC4|ITCH|GPX4|DDX58|PSMB4|TLR8|SIN3A|PTPN22|LACC1|SERPINB1A|AOC3|IL23R|NLRP10|LRRC19|EPHB2|HGF|FFAR2|ADORA2B|OAS1A|OAS1F|IFI205|ILRUN|NPY|PPM1B|NDUFC2|NFE2L1|OAS1G|OAS1E|PYCARD|BCL6B|MACIR|TRIM30A|ZCCHC3|SELENOS|GBP5|NR1H3|LRP8|SPI1|VPS35|FGR|IRF3|CX3CL1|STAT2|DNAJA3|MDK|DAGLA|TYRO3|KARS|PGLYRP1|TIRAP|ZYX|DAGLB|PGLYRP2|DRD2|MEF2C|IL1B|AKNA|MYD88|PSMA1|FAM3A|SERPING1|RHBDD3|PLCG2|TRPV4|KRT1|CCL5|FFAR3|ASH1L|PROC|AOAH|CYLD|APOA1|CD81|SREBF1|GFER|NR1D1|CCR7|UNC13B|NOD1|C1QTNF12|TRAFD1|CCK|TTLL12|SEMA7A|MGLL|NLRP6|FEM1AL|NR1D2|TLR4|DUSP10|PPARA|PARK7|GPR17|CNR2|RIPK2|PARP9|CLOCK|LYN|PCBP2|CTSS|ADORA1|GPS2|EREG|ZC3H12A|FEM1A|TNF|SH2D1A|PTPN2|ADRB2|SCGB1A1|IL33|PIK3R6|SERPINB9B|IFIT1BL2|SERPINB9C|RELA|CD24A|TAP2|CXCL1|A2M|ZMPSTE24|CLEC2D|CLEC12B|CCR2|KLRD1|TAP1|SERPINB9F|PVR|TREM3|SERPINB9|RAET1E|TLR6|SERPINB9D|PTGES|SERPINB9G|MATR3|CHRNA7|GPER1|SERPINB9E|NUPR1|ERCC6|FFAR4|IL4|SERPINB9H|CCKBR|NOD2|CNOT7|TRIM12C|TRIM30D|KLRB1B|C1QTNF3|NDFIP1|CXCL17|LAMP1|TRIM5|CD28|TNFSF4|GSTP1|IL2|SPHK1|SLC15A4|SLIT2|NFKB1|EDNRA|AKIRIN2|TLR3|NFE2L2|CGAS|CRK|TRIM12A|SFPQ|MFHAS1|LILRA5|FOXP3|CLCF1|CEACAM1|CASP12|IL18RAP|NLRP12|IL12B|FOXP1|CADM1|CCR5|IFNG|CLEC7A|IFIT1BL1|BTK|CYP19A1|CD200R3|BST1|FNDC4|METRNL|PTGS2|CMA1|PARP14|FGFR1|OAS1D|GPX1|CASP8|FANCA|STAT1|IL12A|SMAD3|IL22RA2|CD200R4|CASP4|XRCC5|MKRN2|TNFRSF1A|IL1R1|RPS19|RICTOR|FANCD2|TRAF3IP2|TRAF3IP1|CD200R2|ETS1|ATM|RNF135|RORA|METTL3|PLA2G3|SHARPIN|CRTAM|GRN|IL22|SERPINE1|KLRK1|CEBPA|CD160|TTBK1|STAP1|CTSC|TAFA3|NMI|CST7|IFI206|SYT11|TRIM44|GPR4|C2CD4A|IL12RB1|ALOX5AP|LRRK2|OTULIN|C2CD4B|IL17RA|PQBP1|FUT7|UBE2K|TRADD|CX3CR1|TRIM21|SHPK|BCR","regulation of defense response","587","ENR","GO:0031347","1.0","1.17772324676167E-10","GO:0031347","false","GO:0031347"
"6","0.9999998705306005",,"7.7451471920751E-6",,"NCKAP1L|KLRB1B|PPP3CB|CD59A|SH2D1B2|GFER|IL7R|PTPRC|KLRE1|SERPINB9B|SERPINB9C|TAP2|CLEC2D|CLEC12B|KLRD1|TAP1|CRK|SERPINB9F|SERPINB9|HSP90AB1|SERPINB9D|SERPINB9G|IGF2|SERPINB9E|CEACAM1|LGALS9|CX3CR1|HAVCR2|IL4|SERPINB9H|IL13|CD59B|ARRB2","negative regulation of cell killing","33","ENR","GO:0031342","1.0","1.29469399570349E-7","GO:0031342","false","GO:0031342"
"1","1.0",,"2.71858261752733E-14",,"NCKAP1L|KLRH1|FCER2A|SH2D1A|SLAMF6|CFH|SH2D1B2|CD5L|H2-M3|STX7|NOS2|PIK3R6|SERPINB9B|SERPINB9C|XCL1|TAP2|OGA|GIMAP3|ARG1|CXCL1|CLEC2D|CLEC12B|BAD|KLRD1|TAP1|RASGRP1|SERPINB9F|PVR|SERPINB9|RAET1E|SERPINB9D|SERPINB9G|B2M|H2-K1|ULBP1|SERPINB9E|LGALS9|H2-T23|HAVCR2|IL4|SERPINB9H|H2-D1|IL23A|SLC22A13|DNASE1|KLRB1B|DNASE1L3|CD55|MR1|P2RX7|LAMP1|PTPRC|IL21|STAT5B|TYROBP|CXCL5|CRK|LAG3|KLRC1|STAT5A|CYRIB|RIPK3|SPI1|LEP|CEACAM1|IL18RAP|IL12B|CADM1|CCR5|IFNG|CLEC7A|AP1G1|ARRB2|BCL2L11|AGER|KLRC3|IL7R|CD226|VAV1|FADD|NECTIN2|H2-EA|BCL2L1|IL12A|IL13|SYK|F2RL1|PPP3CB|CD59A|GFER|CRTAM|KLRE1|PRF1|KLRK1|CD160|KLRC2|POMC|GIMAP5|STAP1|CCL2|HSPA8|CR1L|HSP90AB1|IGF2|CX3CR1|CD59B","regulation of cell killing","106","ENR","GO:0031341","1.0","4.03949868874789E-17","GO:0031341","false","GO:0031341"
"1","0.9999999999220653",,"1.271515835395E-8",,"KLRH1|FCER2A|BCL2L11|SH2D1A|SLAMF6|SH2D1B2|CD5L|H2-M3|KLRC3|STX7|CD226|NOS2|VAV1|FADD|NECTIN2|XCL1|TAP2|OGA|GIMAP3|H2-EA|ARG1|CXCL1|BAD|KLRD1|RASGRP1|PVR|IL12A|RAET1E|B2M|H2-K1|ULBP1|H2-T23|H2-D1|IL23A|SLC22A13|SYK|F2RL1|MR1|P2RX7|LAMP1|CRTAM|PTPRC|IL21|KLRE1|PRF1|KLRK1|CD160|KLRC2|STAT5B|POMC|TYROBP|GIMAP5|STAP1|CCL2|HSPA8|LAG3|KLRC1|STAT5A|CYRIB|SPI1|IL18RAP|IL12B|CADM1|CCR5|IFNG|CLEC7A|AP1G1","positive regulation of cell killing","67","ENR","GO:0031343","1.0","7.793466301641E-11","GO:0031343","false","GO:0031343"
"2","0.9999921305256751",,"2.94230901143888E-4",,"ZCWPW1|SPO11|BAG6|PSMC3IP|AGO4|MLH1|MAJIN|CEP63|GM42669|MEI4|RNF212B|SPATA22|MEIOC|SYCP1|RAD21L|RAD21|KASH5|SIRT7|PRDM9|SYCE1L|DMC1|TERB1|MEIKIN|HORMAD1|UBE2B|SYCE1|TEX15|TEX11|PTTG1|CCNE2|CPEB1|FANCD2|PLK1|SYCE3|ATM|FMN2|BRIP1|TERF1|TEX19.1|MCMDC2|SGO2A|CCNE1|EHMT2|RNF212|REC8|DNMT3C|NDC1|MEI1|1700028K03RIK|IHO1|4930447C04RIK|GM49340|MAEL|SYCE2|MLH3|SGO1|ESPL1|MRE11A|CENPC1|BRCA2|MORC2B|SGO2B|SUN1|CCNB1IP1|MEIOB|TERB2|TEX12|STAG3|MSH4|TRIP13","homologous chromosome segregation","70","ENR","GO:0045143","1.0","7.86947432479939E-6","GO:0045143","false","GO:0045143"
"9","0.9999994298509848",,"2.98027407577098E-5",,"REG3G|IL6|ADCYAP1|PRCP|TNF|ORM2|EPO|ICAM1|LBP|TFR2|FN1|TNFRSF11A|TACR1|CXCL1|A2M|PPARG|IL1RN|CRP|TREM1|SERPINB9|PTGES|OPRM1|NUPR1|IL4|AOC3|DNASE1|FFAR2|TFRC|DNASE1L3|KL|TNFSF4|SAA2|GSTP1|NPY|SERPINA1B|STAT5B|F2|STAT3|CTNNBIP1|SELENOS|ACVR1|ZP3|FCER1A|ORM3|CCR5|CASP6|BTK|SPN|REG3A|PLSCR1|EIF2AK1|IL1B|IL1A|NLRP3|TRPV1|PTGS2|TAC1|EPHB6|HFE|EDNRB|RHBDD3|VNN1|REG3B|CXCR2|ANO6|ASS1|NPY5R|PIK3CG|VCAM1|F3|CCL5|CNR1|FFAR3|EXT1|ASH1L|PLA2G2D|DEFB1|ADRA2A|IL31RA|ELANE|IL20RB|FCGR1|HP|ORM1|B4GALT1|TNFSF11|CCR7|UGT1A1|CD6|SERPINF2|AHSG|NLRP6|BDKRB2|ALOX5|GATA3|CD163|ITIH4|OGG1|PARK7|F8|FCER1G|MYLK3|SAA4|SAA3|C2CD4A|ALOX5AP|SERPINA1A|SAA1|C2CD4B|SIGIRR|FUT7|ADORA1|C3|F12|KLK1B1|ADAM8","acute inflammatory response","116","ENR","GO:0002526","1.0","5.70149015238504E-7","GO:0002526","false","GO:0002526"
"10","0.999992913616657",,"2.7252205656476E-4",,"IFITM2|HS3ST5|LY6E|TMPRSS2|IFITM7|NECTIN2|TRIM10|SNX3|TRIM14|MID2|TRIM25|PTX3|TRIM62|TRIM59|P4HB|TRIM30B|NBN|APCS|TRIM11|TRIM12C|TRIM38|TMPRSS4|TRIM30D|TRIM6|GSN|TRIM5|TRIM30C|TRIM34B|TRIML2|TRIM27|IFITM1|IFITM3|GM45717|CD4|BSG|TRIM26|TRIM12A|CH25H|TRIM8|CIITA|TRIM30A|TRIM65|MRE11A|CD74|FCNB|TRIM21|TRIM31|LGALS1|TRIML1|IFITM6","regulation of viral entry into host cell","50","ENR","GO:0046596","1.0","7.08638334306582E-6","GO:0046596","false","GO:0046596"
"6","0.9999973859900665",,"1.08260226786737E-4",,"SERPINB9B|SERPINB9F|SERPINB9C|SERPINB9E|SERPINB9|TAP2|SERPINB9H|SERPINB9D|CLEC2D|SERPINB9G|TAP1","protection from natural killer cell mediated cytotoxicity","11","ENR","GO:0042270","1.0","2.61400993355791E-6","GO:0042270","false","GO:0042270"
"7","0.999992353323117",,"2.89684121915687E-4",,"NCKAP1L|DYSF|MOSPD2|LBP|CCL20|IL17RC|S100A14|ANXA1|XCL1|PPBP|CXCL1|RIPOR2|C5AR1|TREM3|EDN3|PREX1|TREM1|SCG2|SRP54A|HRH1|CXCL2|ZPLD2|RARRES2|IL4|DPEP1|IL23A|IL17A|NOD2|TNFAIP6|TGFB2|EPX|UMODL1|RAC1|CXCL13|CXCL15|CXCL3|IRAK4|MSTN|CXCL17|PTGER4|AKIRIN1|SLIT2|EDNRA|S100A8|CXCL9|S100A9|PIKFYVE|UMOD|CXCL5|CXCL10|MCU|CCL3|CCL26|DNM1L|CCL19|SELL|PPIA|GM13304|EDN1|ITGB2L|CCL24|JAM3|C5AR2|IL34|CX3CL1|CCL22|CCL17|MDK|IFNG|CSF3R|RHOH|GM5849|PPIB|CCL8|CCL21D|CCL21A|BST1|CCL21B|GM10591|IL1B|IL1A|SLAMF1|MYD88|VAV1|MPP1|WDR1|CCL6|CCL4|CCL9|DAPK2|TRPV4|CXCR2|MAPK3|CD300A|MAPK1|CCL5|CCL11|CD99L2|CCL1|PDE4B|PF4|CCL7|CCR3|SLC37A4|IL1R1|SYK|LYPD10|ITGA9|CAMK1D|RHOG|PAWR|SIRPA|VAV3|JAML|CCR7|LGALS3|MCOLN2|RTN4|CSF1|PTK2|CXADR|CD177|EDN2|PECAM1|RAC2|CMKLR1|GP2|CXCR1|PDE4D|CCL25|CCL2|SRP54B|BSG|C3AR1|FUT4|JAGN1|SPP1|THBS4|CCL12|FCER1G|GBF1|VEGFA|CKLF|IL17B|IL17RA|FUT7|CD74|CSF1R|DPP4|ITGA1|PRTN3|TNFSF18|C1QBP|ADAM8","granulocyte migration","154","ENR","GO:0097530","1.0","7.64667688301382E-6","GO:0097530","false","GO:0097530"
