"","x"
"881","Psen2"
"882","Itpkb"
"883","Parp1"
"884","Lin9"
"885","Acbd3"
"886","Gm37768"
"887","H3f3a"
"888","H3f3aos"
"889","Sde2"
"890","Pycr2"
"891","Lefty1"
"892","Tmem63a"
"893","2210411M09Rik"
"894","Ephx1"
"895","Nvl"
"896","Cnih4"
"897","Wdr26"
"898","A430110L20Rik"
"899","Lbr"
"900","Enah"
"901","Srp9"
"902","Degs1"
"903","Fbxo28"
"904","Trp53bp2"
"905","Capn2"
"906","Gm37885"
"907","Susd4"
"908","Tlr5"
"909","Disp1"
"910","Brox"
"911","Aida"
"912","Mia3"
"913","Taf1a"
"914","Hhipl2"
"915","Dusp10"
"916","1700056E22Rik"
"917","Marc1"
"918","Marc2"
"919","C130074G19Rik"
"920","Mark1"
"921","Rab3gap2"
"922","Iars2"
"923","Bpnt1"
"924","4930532G15Rik"
"925","Eprs"
"926","Lyplal1"
"927","Tgfb2"
"928","Gm29491"
"929","Rrp15"
"930","A430105J06Rik"
"931","Spata17"
"932","Gpatch2"
"933","Gm38155"
"934","Esrrg"
"935","Gm36388"
"936","Ush2a"
"937","Kctd3"
"938","Kcnk2"
"939","Cenpf"
"940","Ptpn14"
"941","Gm26574"
"942","Gm37422"
"943","Smyd2"
"944","Prox1"
"945","Angel2"
"946","Vash2"
"947","Flvcr1"
"948","A230020J21Rik"
"949","Tatdn3"
"950","Nsl1"
"951","Batf3"
"952","Fam71a"
"953","Atf3"
"954","D730003I15Rik"
"955","Gm37168"
"956","Nenf"
"957","Pacc1"
"958","Ppp2r5a"
"959","Dtl"
"960","Ints7"
"961","Lpgat1"
"962","Gm38037"
"963","Nek2"
"964","1700034H15Rik"
"965","Slc30a1"
"966","Gm26670"
"967","Traf5"
"968","Rcor3"
"969","Gm10516"
"970","Kcnh1"
"971","Hhat"
"972","Sertad4"
"973","Gm15867"
"974","Utp25"
"975","Irf6"
"976","A130010J15Rik"
"977","Traf3ip3"
"978","Lamb3"
"979","Hsd11b1"
"980","G0s2"
"981","Mir205hg"
"982","Plxna2"
"983","Cd34"
"984","A330023F24Rik"
"985","Cd46"
"986","Cr1l"
"987","Fam171a1"
"988","Nmt2"
"989","Rpp38"
"990","Acbd7"
"991","Olah"
"992","Dclre1c"
"993","Suv39h2"
"994","Hspa14"
"995","Gm45902"
"996","Cdnf"
"997","Fam107b"
"998","Frmd4a"
"999","Gm36988"
"1000","Prpf18"
"1001","Bend7"
"1002","Sephs1"
"1003","Phyh"
"1004","Mcm10"
"1005","Optn"
"1006","Camk1d"
"1007","Cdc123"
"1008","Nudt5"
"1009","Gm13199"
"1010","Sec61a2"
"1011","Dhtkd1"
"1012","Upf2"
"1013","Proser2"
"1014","Echdc3"
"1015","A230108P19Rik"
"1016","AL845275.1"
"1017","Usp6nl"
"1018","Gm13388"
"1019","Gm13391"
"1020","Celf2"
"1021","Gm10855"
"1022","Gm10115"
"1023","Gm13219"
"1024","Gata3"
"1025","Gm13256"
"1026","4930412O13Rik"
"1027","9230102O04Rik"
"1028","Taf3"
"1029","Atp5c1"
"1030","Kin"
"1031","Itih2"
"1032","Itih5"
"1033","Gm13261"
"1034","Sfmbt2"
"1035","Prkcq"
"1036","Pfkfb3"
"1037","Rbm17"
"1038","Il2ra"
"1039","Il15ra"
"1040","Fbh1"
"1041","Ankrd16"
"1042","Itga8"
"1043","E030013I19Rik"
"1044","Mindy3"
"1045","Pter"
"1046","Rsu1"
"1047","Gm13270"
"1048","Cubn"
"1049","Trdmt1"
"1050","Vim"
"1051","St8sia6"
"1052","Hacd1"
"1053","Stamos"
"1054","Stam"
"1055","Nsun6"
"1056","Arl5b"
"1057","Plxdc2"
"1058","Nebl"
"1059","A930004D18Rik"
"1060","Skida1"
