"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Direction"
"Gm11674",6.18837688401076,6.11122902499834,1.41863202818966,4.3078324072501,1.64862223012561e-05,4.34317607221057e-05,"UP"
"Olfr1392",11.4951654910626,4.46861582724575,1.03733017456271,4.30780472488378,1.64882851937954e-05,4.34317607221057e-05,"UP"
"Sec24a",3562.56457306561,0.263454441076479,0.0611659231282585,4.30720943300476,1.65327059750498e-05,4.35430279846499e-05,"NONE"
"Spire1",1313.27531657874,-0.304552783302906,0.0707207599537095,-4.30641276341279,1.65923320811964e-05,4.36930130613928e-05,"NONE"
"Zhx3",411.688745979269,0.490295214038477,0.113852948081622,4.30639014886977,1.65940276366215e-05,4.36930130613928e-05,"NONE"
"Abcc10",168.257282995189,0.896036484260528,0.208084812796533,4.30611187918206,1.66149047984949e-05,4.37422183921366e-05,"NONE"
"Rsph3b",359.419853587259,-0.522101159164076,0.121339322900429,-4.30281912478211,1.68638517713121e-05,4.43917732027278e-05,"NONE"
"N4bp3",1283.04162320577,0.347438523918974,0.0807478302613554,4.30275987347802,1.68683638275654e-05,4.43978002876514e-05,"NONE"
"Gm15608",21.7385445292644,2.19319070031201,0.50984376383075,4.30169172578145,1.69499021110396e-05,4.46065333252851e-05,"UP"
"Foxh1",9.46813434576574,5.72870747485536,1.33230131217383,4.29985876506284,1.70906992800931e-05,4.49711406109616e-05,"UP"
"Gm10417",12.5349652611534,3.82981745539116,0.890696521276172,4.2998006210958,1.70951837413147e-05,4.49770164098832e-05,"UP"
"Scap",4936.80515982183,-0.211284224915917,0.0491424384929236,-4.2994249246777,1.7124187065468e-05,4.50473907040893e-05,"NONE"
"C9",9.40835364115403,5.72822951569775,1.33250201384546,4.29885242662161,1.71684734298896e-05,4.51579451887957e-05,"UP"
"Gm26559",47.6825655948725,-1.31878551658992,0.306870095711178,-4.29753675910847,1.72706626545109e-05,4.54207514282733e-05,"DOWN"
"Dnali1",11.2188925656436,3.66278582357556,0.85238720827205,4.29709149554311,1.73053778015122e-05,4.55060592787692e-05,"UP"
"Mitf",385.293250977915,0.556899361229161,0.129608067007794,4.29679551656048,1.73284906965879e-05,4.55608395164169e-05,"NONE"
"Sox13",357.003976798505,-0.488434943343917,0.113711381283167,-4.29539187574905,1.74385016080337e-05,4.58440514046177e-05,"NONE"
"Mob3a",1092.02120878941,-0.366458023699753,0.0853206541690913,-4.29506814344736,1.74639685324826e-05,4.5904960443869e-05,"NONE"
"Trpm8",11.3791177809254,3.69920551680713,0.861299226565961,4.29491331549899,1.74761608464498e-05,4.59309650348017e-05,"UP"
"Usp22",6739.99724339062,-0.279749342935979,0.065136322587361,-4.29482862746478,1.74828332484815e-05,4.59424572224301e-05,"NONE"
