"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Direction"
"Clybl",530.168935151905,-0.733378701070292,0.117307920791587,-6.25174068487015,4.05902954948946e-10,5.64460745184763e-09,"NONE"
"Ldlrap1",1093.7345922368,0.542912134368563,0.086840633677393,6.25182142711492,4.05693113293189e-10,5.64460745184763e-09,"NONE"
"Chmp6",4115.42556902605,-0.382093730638665,0.0611273675296444,-6.25078006922783,4.08407649750934e-10,5.67507974396808e-09,"NONE"
"Tmem144",35.6240016711401,3.28392450535389,0.525526804797229,6.24882399028336,4.13554627911216e-10,5.74219332282245e-09,"UP"
"Gm8116",24.0704587947329,8.0530094582611,1.28885173130457,6.24820471018019,4.15197279404072e-10,5.76058386275106e-09,"UP"
"Rnf17",24.0556187411191,8.04905900394859,1.28841198571481,6.2472711315884,4.17685657602682e-10,5.7906711459067e-09,"UP"
"Sorbs2",115.008159018214,1.53414911577863,0.245597807122444,6.24659126135344,4.19506951534331e-10,5.81147120465233e-09,"UP"
"Id1",163.852149213191,1.28005827393707,0.204995641141695,6.24431947337007,4.25649215901412e-10,5.89205252531419e-09,"UP"
"Nup133",3431.37063404051,-0.403827122490959,0.0646869095874697,-6.24279510439285,4.29819794967643e-10,5.94523850854404e-09,"NONE"
"Rwdd4a",2853.48551092435,0.398366048409427,0.0638165972298772,6.24235803382702,4.31022932863263e-10,5.95732917742155e-09,"NONE"
"E2f1",2555.94643214523,-0.472499731344929,0.0756961175089836,-6.24206031820394,4.31844345570699e-10,5.96412945911753e-09,"NONE"
"Wdr49",23.4548995474571,8.01535014556824,1.28423453261998,6.24134450676703,4.3382556452489e-10,5.98692505433511e-09,"UP"
"Asz1",25.2339460816465,8.11829063765899,1.30133901904051,6.23841329498032,4.42031515610634e-10,6.0955237027008e-09,"UP"
"Rgl1",2466.31347893096,0.442446327083723,0.0709304531424143,6.23774849140437,4.43913609468019e-10,6.11681873137592e-09,"NONE"
"Zfp808",1349.7303257166,-0.647379815067235,0.103806485723187,-6.23641009092199,4.47726446356239e-10,6.16466542792857e-09,"NONE"
"Bbc3",761.550065001495,0.766409265846374,0.12291017637331,6.2355232777357,4.5027038760186e-10,6.1949814877806e-09,"NONE"
"Mpzl1",11252.756741788,-0.369404294416649,0.0592462635146854,-6.23506483788779,4.51591009331776e-10,6.20843342062349e-09,"NONE"
"Pet2",23.225226778019,8.00049287967524,1.28373964961528,6.23217712569125,4.59996935278639e-10,6.31919917310701e-09,"UP"
"Cenpu",866.413096696508,-0.609183914812208,0.0977621158865267,-6.23128815582605,4.62615268488013e-10,6.35035030420316e-09,"NONE"
"Pot1a",2814.75311563475,-0.463735042331461,0.0744283943796395,-6.23061999653078,4.64592805565747e-10,6.37266464967683e-09,"NONE"
"Vti1a",1416.7170317968,-0.528163558480339,0.0848346038531335,-6.22580332189328,4.79094776406512e-10,6.56660864618949e-09,"NONE"
"Kif4",5083.4888381733,-0.435692428041938,0.0699859570655682,-6.22542644710492,4.80247920365661e-10,6.57743483066615e-09,"NONE"
"Akt3",2960.82714000806,-0.420489601958962,0.0675734448207019,-6.22270483730231,4.88656168265329e-10,6.68753483190631e-09,"NONE"
"Megf10",1006.90405381633,0.586342328082713,0.0942402615820282,6.22178162750909,4.91540870337474e-10,6.72193277819509e-09,"NONE"
"Arap3",345.009495008225,0.954409750486524,0.153488947395026,6.21810082539829,5.03208193267855e-10,6.87629248853417e-09,"NONE"
"Ckap5",13721.9402825396,-0.358228615211654,0.057628854083763,-6.21613288876041,5.09556544652562e-10,6.95779094832526e-09,"NONE"
"Polr1b",1886.03761402627,0.495030214440187,0.0796406293788731,6.21579987879287,5.10638503081576e-10,6.9673102764092e-09,"NONE"
"Myl9",511.924540223142,0.783237719308041,0.126057735819971,6.2133253006116,5.18749006517506e-10,7.07264270482377e-09,"NONE"
"Mtmr4",4796.34244010619,0.395404203033816,0.0636568703129885,6.2114929793075,5.24835363569245e-10,7.15024009991328e-09,"NONE"
"Amer1",1602.83235067128,-0.597418053572284,0.0961862427141527,-6.21105510221142,5.26300129080804e-10,7.16480461438875e-09,"NONE"
"Nol8",1535.89031714465,0.48368716916179,0.0779030915123836,6.20883150811675,5.33800175011315e-10,7.26144700883161e-09,"NONE"
"Impact",5859.18351340809,0.413029963466678,0.066542903963427,6.20697232711223,5.40151051619321e-10,7.34232352899357e-09,"NONE"
"Mms19",4885.89739741126,-0.368455980617123,0.0593762493221067,-6.20544384031919,5.45427467037204e-10,7.40848440973415e-09,"NONE"
"Nuf2",3042.51963583193,-0.437629271660312,0.0705624820176214,-6.20201074490299,5.57462707371898e-10,7.56628169390973e-09,"NONE"
"Hyal1",314.498661676141,1.02901649228357,0.165930917674389,6.20147532904531,5.59362899599491e-10,7.58638551321977e-09,"UP"
"Myg1",3439.55701177006,-0.417745664066641,0.0674159640016594,-6.19653920629775,5.77181574929521e-10,7.82219281113316e-09,"NONE"
"Mst1",29.7818207872899,5.91349081527287,0.954500708164012,6.19537603764329,5.81460402522629e-10,7.87428724612919e-09,"UP"
"Slc29a1",3382.10623906051,-0.412028594181683,0.0665153649925588,-6.19448745756379,5.84749968152479e-10,7.91291698308579e-09,"NONE"
"Phyh",37.295343115949,6.82581842514738,1.10249551790495,6.19124369604544,5.96913380434296e-10,8.07148145343044e-09,"UP"
"Rps4l",23.4057523351253,8.00947635303426,1.29399415060194,6.18973149863809,6.0266783075124e-10,8.14321174894175e-09,"UP"
"Hnrnpr",7931.93073027171,-0.364260627597174,0.0588762408565754,-6.18688663368515,6.13640615682215e-10,8.28529230987487e-09,"NONE"
"Ndst3",1253.64752302127,-0.526747219470253,0.085175414740315,-6.18426362907904,6.23930237224969e-10,8.41794402026474e-09,"NONE"
"Dhh",164.766026940006,1.30455078515063,0.210993481396053,6.18289615640723,6.29361173316965e-10,8.48489456744376e-09,"UP"
"Bglap",23.9845932702306,8.04731687116984,1.30167340833031,6.18228567908775,6.31800557680369e-10,8.51144412006008e-09,"UP"
"Ngrn",816.146577091824,-0.652901428104068,0.105630411535505,-6.18099862163852,6.36973728339937e-10,8.57475563221034e-09,"NONE"
"Dpep3",22.5968896030955,7.95945785426493,1.28777751042965,6.18077097153943,6.37893031480684e-10,8.58075128379589e-09,"UP"
"Tube1",496.060344128761,-0.7558171816532,0.122346918575121,-6.1776560493359,6.5060258415559e-10,8.74521929377959e-09,"NONE"
"Parp1",12470.4159581253,-0.293109668004832,0.0474657464418505,-6.17518294722103,6.60869003605438e-10,8.87004757544852e-09,"NONE"
"Dusp10",571.955913333096,0.780495507661981,0.12639195065194,6.17519947778418,6.60799859541647e-10,8.87004757544852e-09,"NONE"
"Psd3",86.8312229174943,1.76112135824379,0.285272034390038,6.17348055868631,6.68027678939295e-10,8.95948826287028e-09,"UP"
"Tmem38a",1023.21267861177,0.635667919803085,0.103067107038057,6.16751491402941,6.93715716703009e-10,9.29712565997386e-09,"NONE"
"Rps6ka6",2924.74268110414,-0.474702862971989,0.0769929030532491,-6.1655405127883,7.02427823651526e-10,9.39996908723912e-09,"NONE"
"Gm20634",60.622453242289,2.72435341136999,0.441866270898192,6.16556091921687,7.02337236114193e-10,9.39996908723912e-09,"UP"
"44085",12824.1670369288,-0.314948908678897,0.0510893189884992,-6.16467228208298,7.06292621551017e-10,9.44470768523096e-09,"NONE"
"Dtx3l",29.8080386979627,5.88968948911703,0.95563227058216,6.16313373922493,7.13192223649392e-10,9.52993239955416e-09,"UP"
"Thra",1618.86254381978,-0.579735563600249,0.0940802043210469,-6.16214184252739,7.17675201017353e-10,9.58276341417418e-09,"NONE"
"Map2k5",1191.87050272299,-0.600134731199062,0.097394067496002,-6.1619228627421,7.18668600241484e-10,9.58895628295675e-09,"NONE"
"H2afj",4081.91327428295,0.551682060343476,0.089541218949,6.16120784169465,7.21921634494776e-10,9.62526738892666e-09,"NONE"
"Stim1",3640.53919668176,0.385289935746335,0.0625515559593431,6.15955798120774,7.29482688493066e-10,9.71892094029099e-09,"NONE"
"Tars",15780.426331751,-0.308812069704839,0.0501601035011687,-6.15652776110488,7.43571456247452e-10,9.89934175501203e-09,"NONE"
"0610009O20Rik",3280.36382067941,-0.402001408353209,0.065314240080761,-6.15488150602585,7.51336498839896e-10,9.99537005730725e-09,"NONE"
"9330182L06Rik",602.625745412826,-0.726821829073425,0.118131304397141,-6.15266065826167,7.61937217470202e-10,1.01289539350334e-08,"NONE"
"Bet1l",518.698373051342,0.755297064371303,0.122786029420296,6.15132737769315,7.68371269483671e-10,1.01995089481462e-08,"NONE"
"Rell1",4848.11668092245,-0.369182613360793,0.0600165802030143,-6.15134371388677,7.68292115659532e-10,1.01995089481462e-08,"NONE"
"Smarcc2",11344.4578587136,-0.412659654393939,0.0670885877377187,-6.15096648042768,7.7012195680946e-10,1.02152587179429e-08,"NONE"
"Cd82",1891.80215477353,-0.457622144311027,0.0744081511318461,-6.15016147223107,7.74041025496736e-10,1.02597267991537e-08,"NONE"
