Ensembl_ID,Gene name,Control_1,Control_2,Control_3,DAC_1,DAC_2,DAC_3
ENSMUSG00000086250,Gm14095,0,0,0,0,0,0
ENSMUSG00000086251,Gm12694,0,0,0,0,0,0
ENSMUSG00000086253,Gm13773,0,0,0,0,0,0
ENSMUSG00000086254,3100003L05Rik,0,1,0,0,0,0
ENSMUSG00000086255,Gm11534,0,0,0,1,0,0
ENSMUSG00000086256,Gm12052,2,1,1,0,0,2
ENSMUSG00000086257,4930548K13Rik,0,0,0,0,0,0
ENSMUSG00000086258,Gm15239,0,0,0,0,0,0
ENSMUSG00000086259,Tmem150cos,0,0,0,0,0,0
ENSMUSG00000086260,Gm16259,10.89,9.36,0.79,8.79,4.76,6.02
ENSMUSG00000086261,Gm3765,0,0,0,0,0,0
ENSMUSG00000086262,A930031H19Rik,0,0,0,0,0,0
ENSMUSG00000086263,4930519D14Rik,0,0,0,1,0,0
ENSMUSG00000086264,Gm15850,0,0,0,0,0,0
ENSMUSG00000086265,Marcksl1-ps4,0,0,0,0,0,0
ENSMUSG00000086266,Igf2os,0,0,0,8,6,4
ENSMUSG00000086267,Gm12496,3,0,2,6.51,10,16
ENSMUSG00000086268,Gm11670,0,0,0,0,1,0
ENSMUSG00000086269,Tmcc3os,13,9,11,10,3,11
ENSMUSG00000086272,BC039966,9,12,8,11,13,14
ENSMUSG00000086273,Rbm46os,0,0,0,0,0,0
ENSMUSG00000086275,1700121C08Rik,0,0,0,0,0,2
ENSMUSG00000086277,4930558K02Rik,0,0,0,0,0,0
ENSMUSG00000086278,Olfr75-ps1,0,0,0,0,0,0
ENSMUSG00000086279,Gm15634,0,0,1,0,1,0
ENSMUSG00000086282,Sox5os4,0,0,0,0,0,0
ENSMUSG00000086283,2810433D01Rik,0,0,0,0,0,0
ENSMUSG00000086284,Frmpd1os,0,0,0,0,0,0
ENSMUSG00000086286,Gm15138,0,0,0,0,0,0
ENSMUSG00000086287,Gm15972,0,0,0,1,0,0
ENSMUSG00000086288,Gm15265,42.15,70.9,59.99,27.27,40.77,34.24
ENSMUSG00000086289,Gm16933,1.6,0,0,0,0,1.69
ENSMUSG00000086290,Snhg12,757,994,917,1703,2097,2776
ENSMUSG00000086291,Gm15513,0,0,0,0,2,1
ENSMUSG00000086292,Gm16052,1,5,6,3,1,4
ENSMUSG00000086293,Gm11269,0,0,0,0,0,0
ENSMUSG00000086296,D030055H07Rik,3,7.74,3.03,2.5,2.51,8.49
ENSMUSG00000086297,Gm15632,0,0,0,0,0,0
ENSMUSG00000086298,Gm11716,0,0,0,0,0,0
ENSMUSG00000086302,Gm13790,0,0,0,0,0,0
ENSMUSG00000086306,Gm11754,0,0,0,0,0,0
ENSMUSG00000086308,G630016G05Rik,1,2,2,1,1,4
ENSMUSG00000086310,Gm12278,0,0,0,0,0,0
ENSMUSG00000086311,Gm12122,0,0,0,0,0,0
ENSMUSG00000086312,Gm15336,1,1,0,1,1,2
ENSMUSG00000086313,Gm15940,0,0,0,0,2,1
ENSMUSG00000086315,Arl4aos,0,0,0,0,0,0
ENSMUSG00000086316,2210013O21Rik,908,1012,976,745,989,1077
ENSMUSG00000086319,Gm16087,0,0,0,0,0,0
ENSMUSG00000086320,Gm12840,81.56,114.04,112.11,473.9,655.29,700.74
ENSMUSG00000086321,Gm11413,0,0,0,180,259,351
ENSMUSG00000086322,E130218I03Rik,10.51,4.72,11.07,14.52,17.14,11.01
ENSMUSG00000086324,Gm15564,0,1,0,0,0,0
ENSMUSG00000086326,Gm13200,0,0,0,0,0,0
ENSMUSG00000086327,Slfn5os,0,0,0,0,0,0
ENSMUSG00000086328,2700033N17Rik,12,8,12,11,8,9
ENSMUSG00000086329,Gm14233,0,0,0,0,0,0
ENSMUSG00000086330,1700007J10Rik,3,2,1,0,1,1
ENSMUSG00000086331,Gm16310,19,27,25,13,15,14
ENSMUSG00000086332,4930480G23Rik,0,0,0,0,0,0
ENSMUSG00000086333,1700120E14Rik,0,0,0,0,0,0
ENSMUSG00000086335,Gm12107,0,0,0,0,0,0
ENSMUSG00000086336,Gm12979,0,0,0,0,1,0
ENSMUSG00000086337,Gm11535,0,0,0,0,0,0
ENSMUSG00000086338,Gm13723,0,0,0,0,0,0
ENSMUSG00000086339,Gm11916,0,0,0,0,1,0
ENSMUSG00000086340,1810059C17Rik,0,0,0,0,0,0
ENSMUSG00000086341,Gm15932,0,1,0,0,0,0
ENSMUSG00000086342,Gm12932,11,7,14,4,9,18
ENSMUSG00000086344,Gm11345,0,0,0,0,0,0
ENSMUSG00000086346,Gm12510,0,0,0,0,0,0
ENSMUSG00000086347,Gm11626,0,0,0,0,0,1.06
ENSMUSG00000086348,1700017J07Rik,0,0,0,0,0,0
ENSMUSG00000086349,Gm13497,0,0,0,0,0,0
ENSMUSG00000086350,B230369F24Rik,18,12,14,54,43,50
ENSMUSG00000086352,4930401G09Rik,0,0,0,0,0,0
ENSMUSG00000086353,Gm13481,2,2,0,3,1,3
ENSMUSG00000086354,Gm13938,0,0,0,0,0,0
ENSMUSG00000086355,4933428C19Rik,0,0,0,0,1,0
ENSMUSG00000086356,Gm13441,0,0,0,0,1,0
ENSMUSG00000086358,Gm13270,11.58,27.2,5.32,21.09,10.02,26.07
ENSMUSG00000086359,9630013K17Rik,8,15,18,2,1,3
ENSMUSG00000086360,Gm16214,0,0,0,0,0,1
ENSMUSG00000086361,Gm6569,1,0,0,1,4,0
ENSMUSG00000086363,A330102I10Rik,0,3,2,5,5,7
ENSMUSG00000086364,Gm11751,0,0,0,0,0,1
ENSMUSG00000086365,4930593C16Rik,0,0,0,0,0,0
ENSMUSG00000086366,1700061J23Rik,0,0,0,0,0,0
ENSMUSG00000086367,Gm6182,0,0,0,0,0,0
ENSMUSG00000086368,Gm13830,2,0,5,20,19,24
ENSMUSG00000086369,E330017L17Rik,0,0,0,2,0,1
ENSMUSG00000086370,Ftx,147,195.03,191,208,299,348.01
ENSMUSG00000086371,Gm12478,0,0,0,0,0,0
ENSMUSG00000086372,Gm16246,0,0,0,0,0,0
