Ensembl_ID,Gene name,Control_1,Control_2,Control_3,DAC_1,DAC_2,DAC_3
ENSMUSG00000044624,Gm4922,0,1,1,1,0,0
ENSMUSG00000044626,Liph,0,0,0,0,11,5
ENSMUSG00000044627,Swi5,8110.03,6826,8530.33,7865.62,7877.02,6731
ENSMUSG00000044628,Rnf208,9,16,26,16,13,18
ENSMUSG00000044629,Cnrip1,0,0,0,0,0,0
ENSMUSG00000044633,B530045E10Rik,0,0,0,0,0,0
ENSMUSG00000044636,Csrnp2,3102,2723,3516,3347,3124,2936
ENSMUSG00000044639,Gm11507,0,0,0,0,0,0
ENSMUSG00000044641,Pard6b,274,228,295,297,259,239
ENSMUSG00000044645,Gm7334,17.98,0,14.56,0,32.19,26.11
ENSMUSG00000044646,Zbtb7c,24,23,27,22,12,22
ENSMUSG00000044647,Csrnp3,0,0,0,16,11,1
ENSMUSG00000044649,Krtap4-2,0,0,0,0,0,0
ENSMUSG00000044664,Prss42,5,0,4,17,29,34
ENSMUSG00000044667,Lppr4,0,0,0,1,0,1
ENSMUSG00000044674,Fzd1,590,481,662,506,428,350
ENSMUSG00000044676,Zfp612,0,0,0,0,0,0
ENSMUSG00000044678,Ly6k,0,0,0,0,0,0
ENSMUSG00000044681,Cnpy1,0,1,0,3,4,0
ENSMUSG00000044689,Gm13749,0,0,0,0,0,0
ENSMUSG00000044694,2010007H06Rik,0,0,0,0,0,0
ENSMUSG00000044697,Gm5479,0,0,0,0,0,0
ENSMUSG00000044700,Tmem201,2431,2427,2658.01,2479.99,2522,2496
ENSMUSG00000044701,Il27,0,4,0,1,0,1
ENSMUSG00000044702,Palb2,704,810,821,531,448,470
ENSMUSG00000044703,Phf11a,11.23,3,10.71,1.04,2.13,11.89
ENSMUSG00000044705,Olfr670,0,0,0,0,0,0
ENSMUSG00000044707,Ccnjl,656,454,653,873,961,843
ENSMUSG00000044708,Kcnj10,0,3,0,5,1,4
ENSMUSG00000044709,Gemin7,971,987,1241,1056,1092,1098
ENSMUSG00000044712,Slc38a6,66554.81,58784.52,73030.97,277663.18,258490.66,224311.93
ENSMUSG00000044715,Gskip,1039,855,1145,1015,902,869
ENSMUSG00000044716,Dok7,0,2,4,2,4,4
ENSMUSG00000044719,E230025N22Rik,14,12,10,10,13,9
ENSMUSG00000044724,Gpr152,0,0,0,1,0,1
ENSMUSG00000044726,Erich5,6,7,0,0,0,7
ENSMUSG00000044730,9930104L06Rik,559,560,600,728,656,675
ENSMUSG00000044734,Serpinb1a,11,5,5,45,23,66
ENSMUSG00000044737,Klk14,4.23,1.68,3.33,3.65,5.16,2.36
ENSMUSG00000044743,Defb10,0,0,0,0,0,0
ENSMUSG00000044748,Defb1,0,0,0,0,0,0
ENSMUSG00000044749,Abca6,0,0,0,8,7,2
ENSMUSG00000044751,Gm12231,0,0,0,2.18,3.28,0
ENSMUSG00000044757,Gm6430,0,0.89,0,0,0,3.13
ENSMUSG00000044763,Trmt10c,1665,1513,1726,2255,1965,2001
ENSMUSG00000044768,D1Ertd622e,869.8,885.5,988.11,858.2,871.82,801.8
ENSMUSG00000044770,Scml4,584,515,630,836,673,581
ENSMUSG00000044772,Sntn,0,0,0,0,4,0
ENSMUSG00000044783,Hjurp,13779,13874,15681,12121,10616,9889
ENSMUSG00000044786,Zfp36,173,139,232,354,306,291
ENSMUSG00000044787,Spata32,0,0,0,0,0,0
ENSMUSG00000044788,Fads6,10.13,7,4.13,28.27,19,18.01
ENSMUSG00000044791,Setd2,6024,4902,5449,5740,5563,4709
ENSMUSG00000044792,Isca1,2235.27,1983.74,2628.91,2630,2259.52,2147.44
ENSMUSG00000044795,Cyb5d1,371.76,326.74,349.13,536.74,476,499.52
ENSMUSG00000044798,Olfr923,0,0,0,0,0,0
ENSMUSG00000044801,Olfr159,0,0,0,0,0,0
ENSMUSG00000044807,Zfp354c,929,789,909,844,748,705
ENSMUSG00000044811,AF251705,0,0,0,0,0,0
ENSMUSG00000044813,Shb,227,232,335,277,282,330
ENSMUSG00000044814,Olfr543,31,12,28,27,33,4
ENSMUSG00000044816,D630023F18Rik,0,0,0,52,66,20.52
ENSMUSG00000044819,Oxgr1,0,0,0,0,0,0
ENSMUSG00000044820,AY074887,1,0,0,0,0,0
ENSMUSG00000044824,Olfr545,10,13,3,5,5,4
ENSMUSG00000044827,Tlr1,139.86,130.81,147.77,193.36,144.37,135.55
ENSMUSG00000044835,Ankrd45,0,8,0,3,1,3
ENSMUSG00000044847,Lsm11,717,875,916,654,524,408
ENSMUSG00000044854,1700056E22Rik,116,81,76,111,85,127
ENSMUSG00000044857,Lemd2,1920,1795,2481,1958,1634,1840
ENSMUSG00000044860,Gm1123,0,0,0,11,17,4
ENSMUSG00000044863,Defb36,0,0,0,0,0,0
ENSMUSG00000044864,Ankrd50,7201,5847,7310,6323,5947,5919
ENSMUSG00000044867,Gimap1os,0,0,0,0,0,0
